cell_id,province_name,district_name,sector_name,cell_name,elderly_60_plus_2020,general_2020,children_under_five_2020,youth_15_24_2020,men_2020,women_2020,building_count
RWA.1.2.13.3_1,Amajyaruguru,Gakenke,Muhondo,Gasiza,155.27024799999998,2065.3115000000003,254.4052,384.32763600000004,978.9320660000001,1086.379434,639.0
RWA.1.2.13.4_1,Amajyaruguru,Gakenke,Muhondo,Gihinga,147.74177899999998,1974.2754960000002,243.812857,367.741508,935.6754090000001,1038.600087,664.0
RWA.1.2.13.5_1,Amajyaruguru,Gakenke,Muhondo,Huro,151.659312,2017.2810000000002,248.48880000000003,375.389784,956.166204,1061.1147959999998,555.0
RWA.1.2.13.6_1,Amajyaruguru,Gakenke,Muhondo,Musagara,227.817571,3037.346708,373.79554800000005,566.0938,1440.347287,1596.999421,714.0
RWA.1.2.13.7_1,Amajyaruguru,Gakenke,Muhondo,Musenyi,93.88433599999999,1248.7930000000001,153.8264,232.38415200000003,591.912412,656.880588,553.0
RWA.1.2.13.8_1,Amajyaruguru,Gakenke,Muhondo,Ruganda,277.87044199999997,3713.5927340000003,458.59245000000004,691.862254,1759.908518,1953.6842159999999,1038.0
RWA.1.2.13.9_1,Amajyaruguru,Gakenke,Muhondo,Rwinkuba,117.09749599999999,1557.5605,191.86040000000003,289.841772,738.2643820000001,819.296118,349.0
RWA.1.2.14.1_1,Amajyaruguru,Gakenke,Muyongwe,Bumba,251.11271699999998,3737.2049810000003,487.544151,682.198219,1752.621412,1984.5831269999999,966.0
RWA.1.2.14.2_1,Amajyaruguru,Gakenke,Muyongwe,Gisiza,316.771479,4713.299009,615.095445,860.092156,2210.412577,2502.885873,1042.0
RWA.1.2.14.3_1,Amajyaruguru,Gakenke,Muyongwe,Karyango,129.616491,1928.704074,250.83010199999998,353.015517,904.5177990000001,1024.186053,415.0
RWA.1.2.14.4_1,Amajyaruguru,Gakenke,Muyongwe,Nganzo,159.461492,2379.740388,309.159964,436.130852,1115.7958,1263.944316,594.0
RWA.1.2.14.5_1,Amajyaruguru,Gakenke,Muyongwe,Va,142.32930299999998,2094.121323,272.200887,383.29717500000004,983.420028,1110.701079,551.0
RWA.1.2.15.1_1,Amajyaruguru,Gakenke,Muzo,Kabatezi,258.66513199999997,4514.180044,633.864682,841.669719,2102.204654,2411.975929,895.0
RWA.1.2.15.2_1,Amajyaruguru,Gakenke,Muzo,Kiryamo,259.52652499999994,4568.810251,637.390536,865.13559,2137.131753,2431.679016,606.0
RWA.1.2.15.3_1,Amajyaruguru,Gakenke,Muzo,Mubuga,190.07735999999994,3344.887675,469.703568,630.7991959999999,1558.927307,1785.960814,785.0
RWA.1.2.15.4_1,Amajyaruguru,Gakenke,Muzo,Mwiyando,221.45276099999995,3891.243475,545.990178,732.625441,1814.111044,2077.132931,608.0
RWA.1.2.15.5_1,Amajyaruguru,Gakenke,Muzo,Rwa,334.62295599999993,5887.7044000000005,826.7797019999999,1110.451491,2743.905406,3143.799781,697.0
