cell_id,province_name,district_name,sector_name ,cell_name
RWA.1.4.2.3_1,Amajyaruguru,Musanze,Cyuve,Cyanya
RWA.1.4.2.4_1,Amajyaruguru,Musanze,Cyuve,Kabeza
RWA.1.4.2.5_1,Amajyaruguru,Musanze,Cyuve,Migeshi
RWA.1.4.2.6_1,Amajyaruguru,Musanze,Cyuve,Rwebeya
RWA.1.4.3.1_1,Amajyaruguru,Musanze,Gacaca,Gakoro
RWA.1.4.3.2_1,Amajyaruguru,Musanze,Gacaca,Gasakuza
RWA.1.4.3.3_1,Amajyaruguru,Musanze,Gacaca,Kabirizi
RWA.1.4.3.4_1,Amajyaruguru,Musanze,Gacaca,Karwasa
RWA.1.4.4.1_1,Amajyaruguru,Musanze,Gashaki,Kigabiro
RWA.1.4.4.2_1,Amajyaruguru,Musanze,Gashaki,Kivumu
RWA.1.4.4.3_1,Amajyaruguru,Musanze,Gashaki,Mbwe
RWA.1.4.4.4_1,Amajyaruguru,Musanze,Gashaki,Muharuro
RWA.1.4.5.1_1,Amajyaruguru,Musanze,Gataraga,Mudakama
RWA.1.4.5.2_1,Amajyaruguru,Musanze,Gataraga,Murago
RWA.1.4.5.3_1,Amajyaruguru,Musanze,Gataraga,Rubindi
RWA.1.4.5.4_1,Amajyaruguru,Musanze,Gataraga,Rungu
RWA.1.4.6.1_1,Amajyaruguru,Musanze,Kimonyi,Birira
RWA.1.4.6.2_1,Amajyaruguru,Musanze,Kimonyi,Buramira
RWA.1.4.6.3_1,Amajyaruguru,Musanze,Kimonyi,Kivumu
RWA.1.4.6.4_1,Amajyaruguru,Musanze,Kimonyi,Mbizi
RWA.1.4.7.1_1,Amajyaruguru,Musanze,Kinigi,Bisoke
RWA.1.4.7.2_1,Amajyaruguru,Musanze,Kinigi,Kaguhu
RWA.1.4.7.3_1,Amajyaruguru,Musanze,Kinigi,Kampanga
RWA.1.4.7.4_1,Amajyaruguru,Musanze,Kinigi,Nyabigoma
RWA.1.4.7.5_1,Amajyaruguru,Musanze,Kinigi,Nyonirima
RWA.1.4.8.1_1,Amajyaruguru,Musanze,Muhoza,Cyabararika
RWA.1.4.8.2_1,Amajyaruguru,Musanze,Muhoza,Kigombe
RWA.1.4.8.3_1,Amajyaruguru,Musanze,Muhoza,Mpenge
RWA.1.4.8.4_1,Amajyaruguru,Musanze,Muhoza,Ruhengeri
RWA.1.4.9.1_1,Amajyaruguru,Musanze,Muko,Cyivugiza
RWA.1.4.9.2_1,Amajyaruguru,Musanze,Muko,Cyogo
RWA.1.4.9.3_1,Amajyaruguru,Musanze,Muko,Mburabuturo
RWA.1.4.9.4_1,Amajyaruguru,Musanze,Muko,Songa
RWA.1.4.10.1_1,Amajyaruguru,Musanze,Musanze,Cyabagarura
